SIMULATION_NUMBER,BANK ACCOUNT
0,-0.0165762
1,-0.0395212
2,-0.0232229
3,-0.0384443
4,-0.00585441
5,0.0267522
6,-0.013935
7,0.000197145
8,-0.00475614
9,0.0200636
10,-0.0100623
11,-0.0017775
12,0.00181447
13,0.0158605
14,-0.0306881
15,-0.00654713
16,0.0122321
17,0.0311353
18,-0.0341173
19,0.00305834
20,0.00473826
21,0.029985
22,0.00678402
23,-0.00997973
24,-0.0721947
25,0.00790053
26,0.000495098
27,-0.0215329
28,0.0483622
29,-0.00879109
30,-0.0217487
31,-0.00310015
32,0.0181751
33,-0.0184588
34,-0.0067737
35,0.0482474
36,0.0229383
37,0.0450629
38,0.00168379
39,0.015578
40,0.0031366
41,0.000931156
42,0.00772976
43,0.00854888
44,0.00801832
45,0.011982
46,0.0296837
47,0.0252762
48,-0.031592
49,0.0297064
50,0.031673
51,-0.014669
52,-0.0275208
53,0.0185836
54,-0.0288078
55,0.00876469
56,0.0353891
57,0.00109679
58,0.00414226
59,-0.0195735
60,-0.0280642
61,0.00555474
62,-0.00300998
63,-0.00536832
64,0.0218493
65,0.00749797
66,-0.0178649
67,0.0165248
68,-0.0166445
69,0.00762406
70,0.027388
71,-0.0514895
72,-0.0171867
73,0.00306395
74,0.029109
75,0.00723011
76,-0.0291432
77,-0.016717
78,-0.00497263
79,-0.00829191
80,-0.00251088
81,-0.00429501
82,-0.00887558
83,0.00216987
84,0.000213005
85,0.0178614
86,-0.013076
87,0.00685
88,-0.00471283
89,-0.0394511
90,-0.0358951
91,-0.00940283
92,0.0332908
93,0.0151968
94,-0.0129057
95,-0.004345
96,-0.011472
97,0.0127233
98,0.022443
99,-0.00745959
100,-0.0158226
101,-0.0125483
102,0.0278447
103,-0.0257097
104,0.0383288
105,-0.00510182
106,-0.00531247
107,0.0114684
108,0.0255518
109,0.0116262
110,0.00607363
111,-0.00637517
112,0.00702343
113,0.00483006
114,-0.0179052
115,-0.00459515
116,-0.001538
117,0.0358471
118,0.00720812
119,0.0164161
120,-0.00475577
121,-0.0675234
122,-0.00801934
123,0.0327064
124,0.017854
125,-0.0179178
126,0.00589318
127,0.00722905
128,0.00581662
129,-0.0132711
130,0.00938484
131,0.0249421
132,0.00386946
133,0.0243596
134,-0.0146193
135,0.00317729
136,-0.0591899
137,0.00655363
138,-0.0152805
139,-0.0218462
140,0.00384314
141,-0.0093154
142,-0.0140622
143,0.0322824
144,-0.0131586
145,0.0167924
